,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper
157,2015-12-31,228265.4867325091,151941.77558461984,316732.677168847,228265.4867325091,228265.4867325091
158,2016-03-31,227448.82229485636,144881.3584721412,305476.2035357759,227448.82229485636,227448.82229485636
159,2016-04-30,227179.59226046538,149986.82466489763,314155.71311343584,227179.59226046538,227179.59226046538
160,2016-05-31,226901.38789159464,138990.37118689937,308570.49394815986,226901.38789159464,226901.38789159464
161,2016-06-01,226892.41355711492,148840.08432074232,312804.2351288442,226892.41355711492,226892.41355711492
162,2016-06-02,226883.43922263524,154255.93060136892,317420.9477162193,226883.43922263524,226883.43922263524
163,2016-06-03,226874.46488815558,160326.7311546326,322473.01469304564,226874.46488815558,226874.46488815558
164,2016-06-04,226865.49055367586,166036.87015683053,331329.7166486231,226865.49055367586,226865.49055367586
165,2016-06-05,226856.51621919614,171010.8952016621,334017.5386110405,226856.51621919614,226856.51621919614
166,2016-06-06,226847.54188471645,177364.0131517489,338745.3082153589,226847.54188471645,226847.54188471645
167,2016-06-07,226838.56755023674,180757.7934224869,349360.5815182906,226838.56755023674,226838.56755023674
168,2016-06-08,226829.59321575708,188564.5957501556,355598.81609545177,226829.59321575708,226829.59321575708
169,2016-06-09,226820.61888127736,189710.75535121356,354916.251101749,226820.61888127736,226820.61888127736
170,2016-06-10,226811.64454679767,194553.29583738756,362726.47016699606,226811.64454679767,226811.64454679767
171,2016-06-11,226802.67021231796,206875.85945550608,364076.5811882289,226802.67021231796,226802.67021231796
172,2016-06-12,226793.69587783824,206743.7480258721,367131.80964881356,226793.69587783824,226793.69587783824
173,2016-06-13,226784.72154335855,209226.17948596954,378214.0167547596,226784.72154335858,226784.72154335858
174,2016-06-14,226775.74720887883,208694.79897347302,373038.3147881179,226775.74720887886,226775.74720887886
175,2016-06-15,226766.77287439918,213660.1887560746,378701.8610961927,226766.77287439918,226766.77287439918
176,2016-06-16,226757.79853991946,216032.32624032686,377240.9128226776,226757.79853991946,226757.79853991946
177,2016-06-17,226748.82420543977,211607.72376120763,371498.9000841286,226748.82420543977,226748.82420543977
178,2016-06-18,226739.84987096005,212168.3918314004,372020.99621013156,226739.84987096005,226739.84987096005
179,2016-06-19,226730.87553648034,205082.3725626219,368551.79135960096,226730.87553648034,226730.87553648034
180,2016-06-20,226721.90120200065,198073.0353813253,363239.7280449694,226721.90120200065,226721.90120200065
181,2016-06-21,226712.92686752093,199779.81800950287,360568.66891401383,226712.92686752093,226712.92686752093
182,2016-06-22,226703.95253304127,197021.58688066772,356865.9662223427,226703.95253304127,226703.95253304127
183,2016-06-23,226694.97819856156,182584.02211319594,358454.680116365,226694.97819856156,226694.97819856156
184,2016-06-24,226686.00386408187,179299.9839114487,341537.4980052359,226686.00386408187,226686.00386408187
185,2016-06-25,226677.02952960215,176823.41750778948,337404.1371011437,226677.02952960215,226677.02952960215
186,2016-06-26,226668.05519512243,175459.4476656582,333492.6323667159,226668.05519512243,226668.05519512243
187,2016-06-27,226659.08086064275,165652.84915641526,329617.40028772363,226659.08086064275,226659.08086064275
188,2016-06-28,226650.1065261631,155016.45944534565,322878.6018251684,226650.1065261631,226650.1065261631
189,2016-06-29,226641.13219168337,151503.09856708758,320306.591466576,226641.13219168337,226641.13219168337
190,2016-06-30,226632.15785720365,149573.4283060165,308903.5675570934,226632.15785720365,226632.15785720365
191,2016-07-01,226623.18352272396,137856.6117876625,303212.00385462446,226623.18352272396,226623.18352272396
192,2016-07-02,226614.20918824425,145806.0497611754,304609.27420890005,226614.20918824425,226614.20918824425
193,2016-07-03,226605.23485376453,143637.05753952035,307477.8796393054,226605.23485376453,226605.23485376453
194,2016-07-04,226596.26051928484,143114.64962238105,307989.2904284099,226596.2605192848,226596.2605192848
195,2016-07-05,226587.28618480513,141244.82726288063,303920.4109308897,226587.2861848051,226587.2861848051
196,2016-07-06,226578.31185032547,141681.2166302403,304265.79312041984,226578.31185032547,226578.31185032547
197,2016-07-07,226569.33751584575,142929.23751660562,307683.1373752822,226569.33751584575,226569.33751584575
198,2016-07-08,226560.36318136606,145241.69203442408,313838.8327791302,226560.36318136606,226560.36318136606
199,2016-07-09,226551.38884688634,150018.33004328067,308612.1248068317,226551.38884688634,226551.38884688634
200,2016-07-10,226542.41451240663,147803.6786535096,315024.35894985055,226542.41451240663,226542.41451240663
201,2016-07-11,226533.44017792694,160144.721477411,321035.4914622605,226533.44017792694,226533.44017792694
202,2016-07-12,226524.46584344722,160003.0975374208,322046.5216127392,226524.46584344722,226524.46584344722
203,2016-07-13,226515.49150896756,166915.24458358565,330531.87084196194,226515.49150896756,226515.49150896756
204,2016-07-14,226506.51717448785,170402.50567447967,330575.78331170004,226506.51717448785,226506.51717448785
205,2016-07-15,226497.54284000816,179517.77816762187,342794.9993833682,226497.54284000816,226497.54284000816
206,2016-07-16,226488.56850552844,183155.31624801736,341588.0263638339,226488.56850552844,226488.56850552844
207,2016-07-17,226479.59417104872,188263.5650315704,351024.6133388196,226479.59417104872,226479.59417104872
208,2016-07-18,226470.61983656904,192757.59040037083,348178.2334418908,226470.61983656904,226470.61983656904
209,2016-07-19,226461.64550208938,197826.95567178036,347472.957493565,226461.64550208938,226461.64550208938
210,2016-07-20,226452.67116760966,190385.35111212,361239.52518012165,226452.67116760966,226452.67116760966
211,2016-07-21,226443.69683312994,193585.6096691812,362071.05253823986,226443.69683312994,226443.69683312994
212,2016-07-22,226434.72249865026,194984.85282207647,354456.6606939484,226434.72249865026,226434.72249865026
