,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper
165,2014-06-30,1044288.2454590801,932745.1600080157,1252642.236417174,1044288.2454590801,1044288.2454590801
166,2014-09-30,1052605.9645855387,885996.4652278092,1182918.4574130878,1052605.9645855387,1052605.9645855387
167,2015-04-30,1071772.8825725955,850341.5368010164,1159946.6050501568,1071772.8825725955,1071772.8825725955
168,2015-06-30,1077287.8919933995,979534.5062672098,1296990.086436884,1077287.8919933995,1077287.8919933995
169,2015-07-31,1080090.601699054,955328.4653542298,1258948.7918967565,1080090.601699054,1080090.601699054
170,2015-08-31,1082893.3114047085,946268.9431626443,1258283.4910419981,1082893.3114047085,1082893.3114047085
171,2016-03-31,1102150.6393822702,941645.912703614,1246250.3697234022,1102150.6393822702,1102150.6393822702
172,2016-04-30,1104862.9390974198,977162.1183880212,1292525.3047277494,1104862.9390974198,1104862.9390974198
173,2016-05-31,1107665.6488030744,984778.5908956381,1287252.3169977418,1107665.6488030744,1107665.6488030744
174,2016-06-30,1110377.948518224,956092.3944682024,1278935.0355907646,1110377.948518224,1110377.948518224
175,2016-07-01,1110468.358508729,912101.1171599118,1210193.8895698404,1110468.358508729,1110468.358508729
176,2016-07-02,1110558.7684992338,873289.2767870219,1168134.5780129125,1110558.7684992338,1110558.7684992338
177,2016-07-03,1110649.1784897388,821999.1650974613,1127418.660219734,1110649.1784897388,1110649.1784897388
178,2016-07-04,1110739.588480244,762118.5117852244,1090331.6995826045,1110739.588480244,1110739.588480244
179,2016-07-05,1110829.9984707488,748000.9763268358,1055177.7062177137,1110829.9984707488,1110829.9984707488
180,2016-07-06,1110920.4084612539,739730.3175039339,1038499.475357441,1110920.4084612539,1110920.4084612539
181,2016-07-07,1111010.818451759,729630.9816962415,1033883.5758821643,1111010.818451759,1111010.818451759
182,2016-07-08,1111101.2284422638,732052.5984377443,1035110.8621847345,1111101.2284422638,1111101.2284422638
183,2016-07-09,1111191.6384327689,748290.8321337025,1069144.6919656529,1111191.6384327689,1111191.6384327689
184,2016-07-10,1111282.0484232737,756446.2205135619,1075543.9934252806,1111282.0484232737,1111282.0484232737
185,2016-07-11,1111372.4584137788,785031.2071553469,1101342.7142816822,1111372.4584137788,1111372.4584137788
186,2016-07-12,1111462.868404284,805433.039180562,1112150.37856344,1111462.868404284,1111462.868404284
187,2016-07-13,1111553.2783947887,845464.8687598895,1145384.026156509,1111553.2783947887,1111553.2783947887
188,2016-07-14,1111643.6883852936,883501.4875106228,1181116.867853088,1111643.6883852936,1111643.6883852936
189,2016-07-15,1111734.0983757987,899431.8781503253,1197491.7922190584,1111734.0983757987,1111734.0983757987
190,2016-07-16,1111824.5083663038,923464.8885556681,1246471.64273197,1111824.5083663038,1111824.5083663038
191,2016-07-17,1111914.9183568086,973679.3163020784,1278146.7301713198,1111914.9183568086,1111914.9183568086
192,2016-07-18,1112005.3283473137,1008822.4465116669,1316876.41860545,1112005.3283473137,1112005.3283473137
193,2016-07-19,1112095.7383378185,1028807.4499108258,1347294.2311722597,1112095.7383378185,1112095.7383378185
194,2016-07-20,1112186.1483283236,1054353.7887623606,1360543.6646704916,1112186.1483283236,1112186.1483283236
195,2016-07-21,1112276.5583188287,1076122.056612758,1386887.463342911,1112276.5583188287,1112276.5583188287
196,2016-07-22,1112366.9683093335,1076834.7373604798,1394581.623691747,1112366.9683093335,1112366.9683093335
197,2016-07-23,1112457.3782998386,1088127.4233281359,1403087.4179629004,1112457.3782998386,1112457.3782998386
198,2016-07-24,1112547.7882903437,1097432.4149384822,1393248.9786019467,1112547.7882903437,1112547.7882903437
199,2016-07-25,1112638.1982808483,1088605.3681935396,1397954.7042234188,1112638.1982808483,1112638.1982808483
200,2016-07-26,1112728.6082713534,1074038.6250016037,1381160.550086436,1112728.6082713534,1112728.6082713534
201,2016-07-27,1112819.0182618585,1050965.827745396,1366822.280715474,1112819.0182618585,1112819.0182618585
202,2016-07-28,1112909.4282523633,1042741.9851057723,1348298.400821602,1112909.4282523633,1112909.4282523633
203,2016-07-29,1112999.8382428684,1032618.5104237727,1334989.343764433,1112999.8382428684,1112999.8382428684
204,2016-07-30,1113090.2482333735,986268.8494711039,1294531.3928664308,1113090.2482333735,1113090.2482333735
205,2016-07-31,1113180.6582238784,977934.6951253446,1274226.8491690373,1113180.6582238784,1113180.6582238784
206,2016-08-01,1113271.0682143834,941770.662732678,1257629.2937441783,1113271.0682143834,1113271.0682143834
207,2016-08-02,1113361.4782048885,916370.1600010778,1215275.2473451067,1113361.4782048885,1113361.4782048885
208,2016-08-03,1113451.8881953931,893532.6664770795,1199781.3274214722,1113451.8881953931,1113451.8881953931
209,2016-08-04,1113542.2981858985,853227.4114221394,1168373.7277675783,1113542.2981858985,1113542.2981858985
210,2016-08-05,1113632.7081764035,845185.5491805689,1156713.2870069884,1113632.7081764035,1113632.7081764035
211,2016-08-06,1113723.1181669082,817068.5189180553,1125630.8742080424,1113723.1181669082,1113723.1181669082
212,2016-08-07,1113813.5281574132,808517.5246902265,1115946.3121561254,1113813.5281574132,1113813.5281574132
213,2016-08-08,1113903.9381479183,792782.9041486387,1107260.1165203908,1113903.9381479183,1113903.9381479183
214,2016-08-09,1113994.3481384232,799702.7449255971,1100756.752836057,1113994.3481384232,1113994.3481384232
215,2016-08-10,1114084.7581289283,786827.8464866664,1098660.056219043,1114084.7581289283,1114084.7581289283
216,2016-08-11,1114175.1681194333,790847.6571136457,1088985.430712067,1114175.1681194333,1114175.1681194333
217,2016-08-12,1114265.5781099382,797876.1348928543,1100266.9892602488,1114265.5781099382,1114265.5781099382
218,2016-08-13,1114355.9881004433,803616.3885355203,1118660.9616011644,1114355.9881004433,1114355.9881004433
219,2016-08-14,1114446.3980909484,821076.0095046007,1137961.9666178457,1114446.3980909484,1114446.3980909484
220,2016-08-15,1114536.808081453,840618.7173269796,1157802.1364572893,1114536.808081453,1114536.808081453
221,2016-08-16,1114627.218071958,855664.6299746209,1174320.9790255884,1114627.218071958,1114627.218071958
222,2016-08-17,1114717.6280624634,892979.7343380908,1202737.0259983512,1114717.6280624634,1114717.6280624634
223,2016-08-18,1114808.038052968,913004.3713804907,1227406.3861935076,1114808.038052968,1114808.038052968
224,2016-08-19,1114898.448043473,933391.7076742498,1244681.036634745,1114898.448043473,1114898.448043473
225,2016-08-20,1114988.8580339781,961022.0680494588,1266663.8547884591,1114988.8580339781,1114988.8580339781
226,2016-08-21,1115079.268024483,961241.6717185724,1273751.6280895122,1115079.268024483,1115079.268024483
227,2016-08-22,1115169.678014988,971073.6407608094,1290549.6650779503,1115169.678014988,1115169.678014988
228,2016-08-23,1115260.088005493,1006003.2038869429,1307659.8876194046,1115260.088005493,1115260.088005493
229,2016-08-24,1115350.497995998,1006653.1603776772,1319270.5452970287,1115350.497995998,1115350.497995998
230,2016-08-25,1115440.907986503,1012552.4770364949,1332940.3492320073,1115440.907986503,1115440.907986503
231,2016-08-26,1115531.317977008,1029073.0947759419,1334558.7350192897,1115531.317977008,1115531.317977008
232,2016-08-27,1115621.7279675128,1025721.476589589,1321882.0065365587,1115621.7279675128,1115621.7279675128
233,2016-08-28,1115712.1379580179,1012890.4775349363,1320937.2307464364,1115711.6981602493,1115712.1379580179
234,2016-08-29,1115802.547948523,1004066.7877554919,1312967.9927272939,1115800.2225234974,1115802.547948523
235,2016-08-30,1115892.9579390278,977768.0765315553,1298417.9780388896,1115889.0761409556,1115892.9579390278
