,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper
207,2014-06-30,661489.2913654357,603915.6261721133,724179.3011830857,661489.2913654358,661489.2913654358
208,2014-07-31,663783.0317240239,616964.7320801123,742990.7949362338,663783.0317240239,663783.0317240239
209,2014-08-31,666076.772082612,633254.6597802796,751990.0067457607,666076.772082612,666076.772082612
210,2014-09-30,668296.5208167295,612156.0493849227,730183.4639201959,668296.5208167295,668296.5208167295
211,2014-10-31,670590.2611753178,593615.5372682494,713774.8659216386,670590.2611753178,670590.2611753178
212,2014-11-30,672810.0099094353,598300.7601547644,719020.1892984359,672810.0099094352,672810.0099094352
213,2014-12-31,675103.7502680235,609105.3683268582,729501.6295284908,675103.7502680235,675103.7502680235
214,2015-01-31,677397.4906266116,622301.7976845307,743499.5355665889,677397.4906266116,677397.4906266116
215,2015-02-28,679469.256111788,594233.8748280607,710721.575812011,679469.256111788,679469.256111788
216,2015-03-31,681762.9964703762,603356.6044583545,725985.4747185403,681762.9964703762,681762.9964703762
217,2015-04-30,683982.7452044938,609947.5179030338,729307.7625812176,683982.7452044938,683982.7452044938
218,2015-05-31,686276.4855630819,606215.9396395313,723151.7487267265,686276.4855630819,686276.4855630819
219,2015-06-30,688496.2342971995,621876.8510548709,747399.4517279034,688496.2342971995,688496.2342971995
220,2015-07-31,690789.9746557876,639546.7392598976,758317.4224751636,690789.9746557876,690789.9746557876
221,2015-08-31,693083.7150143757,656185.9331222912,782740.4565353553,693083.7150143757,693083.7150143757
222,2015-09-30,695303.4637484933,644808.4980463526,758815.9550948453,695303.4637484933,695303.4637484933
223,2015-10-31,697597.2041070815,623593.8364779493,741019.1009847855,697597.2041070815,697597.2041070815
224,2015-11-30,699816.952841199,618542.590963699,738475.9200737324,699816.952841199,699816.952841199
225,2015-12-31,702110.6931997873,640113.0660814716,765333.8466080073,702110.6931997873,702110.6931997873
226,2016-01-31,704404.4335583753,653919.8783622644,779864.5150798829,704404.4335583753,704404.4335583753
227,2016-02-29,706550.1906680224,640269.3225001937,764375.0456999375,706550.1906680224,706550.1906680224
228,2016-03-31,708843.9310266105,617070.9417813194,732926.940825125,708843.9310266105,708843.9310266105
229,2016-04-30,711063.6797607281,627870.6209249937,748738.5671505857,711063.6797607281,711063.6797607281
230,2016-05-31,713357.4201193163,641702.4457030545,764250.6900866863,713357.4201193163,713357.4201193163
231,2016-06-30,715577.1688534338,667230.8761145562,791119.1566350729,715577.1688534338,715577.1688534338
232,2016-07-01,715651.1604779044,690115.6656225628,802043.4078064747,715651.1604779044,715651.1604779044
233,2016-07-02,715725.1521023749,702871.0571244326,818558.5529462153,715725.1521023749,715725.1521023749
234,2016-07-03,715799.1437268456,716141.749140077,838971.7163992476,715799.1437268456,715799.1437268456
235,2016-07-04,715873.1353513163,727753.9037393345,852699.9376944576,715873.1353513163,715873.1353513163
236,2016-07-05,715947.1269757868,742434.988872987,863101.7883983515,715947.1269757866,715947.1269757866
237,2016-07-06,716021.1186002573,750728.0637662964,872564.4770526834,716021.1186002573,716021.1186002573
238,2016-07-07,716095.110224728,764541.2512987221,879587.5250400185,716095.110224728,716095.110224728
239,2016-07-08,716169.1018491985,769066.6680667202,887123.7590170149,716169.1018491985,716169.1018491985
240,2016-07-09,716243.0934736691,767850.0944582779,886349.0083300933,716243.0934736691,716243.0934736691
241,2016-07-10,716317.0850981397,769911.7024394369,889764.8302999763,716317.0850981397,716317.0850981397
242,2016-07-11,716391.0767226103,769326.8244868349,886049.6067735404,716391.0767226103,716391.0767226103
243,2016-07-12,716465.0683470808,763897.7969909359,881936.303704668,716465.0683470808,716465.0683470808
244,2016-07-13,716539.0599715515,752551.6710303469,873601.4459558029,716539.0599715515,716539.0599715515
245,2016-07-14,716613.051596022,750631.303957807,872557.1155226807,716613.051596022,716613.051596022
246,2016-07-15,716687.0432204925,737357.6081826453,859964.2242367171,716687.0432204925,716687.0432204925
247,2016-07-16,716761.0348449632,728537.792450957,849816.0909732783,716761.0348449632,716761.0348449632
248,2016-07-17,716835.0264694338,714833.7049115608,836689.8233500123,716835.0264694337,716835.0264694337
249,2016-07-18,716909.0180939044,699590.3878675653,820768.6011607826,716909.0180939044,716909.0180939044
250,2016-07-19,716983.0097183749,690828.0581985589,810839.6457351656,716983.0097183749,716983.0097183749
251,2016-07-20,717057.0013428455,678642.4499148868,792769.4633746812,717057.0013428455,717057.0013428455
252,2016-07-21,717130.9929673161,662973.3696937539,784259.6973599568,717130.9929673161,717130.9929673161
253,2016-07-22,717204.9845917866,658003.711045958,775232.9447170509,717204.9845917866,717204.9845917866
