,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper
153,2014-08-31,312931.9099264453,247852.25129470573,416099.4799497404,312931.9099264453,312931.9099264453
154,2015-04-30,310469.19703025836,206826.16981684108,383514.2703476739,310469.19703025836,310469.19703025836
155,2015-06-30,309848.4305564261,221169.89338597158,383419.6994202593,309848.4305564261,309848.4305564261
156,2015-07-31,309532.9590697245,225922.18669555816,392365.8733727098,309532.9590697245,309532.9590697245
157,2015-08-31,309217.48758302286,245816.7104947727,408793.1535855251,309217.4875830229,309217.4875830229
158,2015-09-30,308912.19259589224,226724.35146850048,396940.856088146,308912.19259589224,308912.19259589224
159,2016-03-31,307049.89317439555,205220.8026555991,373330.3454742076,307049.89317439555,307049.89317439555
160,2016-04-30,306744.59818726487,255817.1819835321,422817.72120675584,306744.59818726487,306744.59818726487
161,2016-05-31,306429.12670056324,252349.06986081545,421509.1625795842,306429.12670056324,306429.12670056324
162,2016-06-30,306123.8317134327,216964.49208683835,390905.56146026554,306123.8317134327,306123.8317134327
163,2016-07-01,306113.6552138616,242225.64216136344,404199.43454831,306113.6552138616,306113.6552138616
164,2016-07-02,306103.47871429066,251165.8539541976,419216.5680464552,306103.47871429066,306103.47871429066
165,2016-07-03,306093.3022147196,263205.57448996906,428050.8870933643,306093.3022147196,306093.3022147196
166,2016-07-04,306083.1257151486,294397.0488709631,453570.5214052609,306083.1257151486,306083.1257151486
167,2016-07-05,306072.94921557757,295873.9033639812,469184.30797744996,306072.94921557757,306072.94921557757
168,2016-07-06,306062.77271600656,321546.64898630325,488368.65179785143,306062.77271600656,306062.77271600656
169,2016-07-07,306052.59621643554,336765.65876984503,505679.795313288,306052.59621643554,306052.59621643554
170,2016-07-08,306042.4197168645,351676.9360538253,518900.00334575423,306042.4197168645,306042.4197168645
171,2016-07-09,306032.24321729346,363090.3128648937,529008.2291344424,306032.24321729346,306032.24321729346
172,2016-07-10,306022.06671772245,365645.217030596,540717.7360637491,306022.06671772245,306022.06671772245
173,2016-07-11,306011.89021815144,380590.75663493364,554042.5108658022,306011.89021815144,306011.89021815144
